Specimen #,Species,Clade,CladeDiv,logRL,logJaw,logOrbit,logCor,Regime0,Regime1,Regime2,Regime3,Regime4,PGLSresid
MCZ2029,Dimetrodon_grandis,Pelycosauria,Pelycosauria,3.219257493,2.595809467,,,0,0,0,0,0,-0.118059467
FMNH UC1001,Dimetrodon_limbatus,Pelycosauria,Pelycosauria,3.489074797,2.56931111,,,0,0,0,0,0,0.199163746
AMNH FR4091,Secodontosaurus_longiramus,Pelycosauria,Pelycosauria,3.07783043,2.522068465,,,0,0,0,0,0,-0.127562908
SAM PK8950,Hipposaurus,Biarmosuchia,Biarmosuchia,2.861657453,2.184606267,1.65069598,,0,1,0,0,0,0.259988425
NMQR 1702,Lemurosaurus,Biarmosuchia,Biarmosuchia,2.381230194,2.090575455,,,0,1,0,0,0,-0.052216475
SAM PK K10037,Paraburnetia,Biarmosuchia,Biarmosuchia,2.816196211,2.226187323,1.462547729,,0,1,0,0,0,0.140138127
PIN1758/8,Biarmosuchus_tener,Biarmosuchia,Biarmosuchia,2.815660084,2.306096122,,,0,1,0,0,0,-0.003355892
IVPP V18120,Sinophoneus,Dinocephalia,Dinocephalia,2.478107663,2.041866203,,,0,1,0,0,0,0.131802486
AMNH FR5633,Jonkeria,Dinocephalia,Dinocephalia,3.919906382,2.752889319,,,0,1,0,0,0,0.301571501
QR2986,Tapinocaninus,Dinocephalia,Dinocephalia,3.581122244,2.660865478,1.98569586,,0,1,0,0,0,0.127419225
PIN1758/4,Estemmenosuchus_uralensis,Dinocephalia,Dinocephalia,3.839119339,2.739251207,,,0,1,0,0,0,0.24518322
AMNH FR5550,Moschops,Dinocephalia,Dinocephalia,3.530247657,2.414973348,1.658450242,,0,1,0,0,0,0.516448892
PIN157/2,Syodon,Dinocephalia,Dinocephalia,2.812183798,2.375392194,,,0,1,0,0,0,-0.130803762
UCMP41757,Diictodon,Anomodontia,non-bidentalians,2.680983298,2.002295683,1.377488383,0.743956372,0,1,1,1,1,0.405470302
BPI/1/7934,Robertia,Anomodontia,non-bidentalians,2.245384335,1.812913357,1.342422681,,0,1,1,1,1,0.30867881
BP/1/6685,Pristerodon,Anomodontia,non-bidentalians,2.181105804,1.763427994,1.230448921,0.689885759,0,1,1,1,1,0.332930244
PIN2207/2,Ulemosaurus,Dinocephalia,Dinocephalia,3.495134825,2.539833995,,,0,1,0,0,0,0.25795872
SAM PK11131,Endothiodon,Anomodontia,non-bidentalians,3.315229735,2.525044807,1.755874856,0.922325744,0,1,1,1,1,0.104511682
BPI/1/1307,Emydops,Anomodontia,non-bidentalians,2.121714101,1.698970004,1.204119983,0.421505212,0,1,1,1,1,0.388854733
BPI/1/6230,Eodicynodon_oosthuizeni,Anomodontia,non-bidentalians,2.062179694,1.73239376,,0.418748616,0,1,1,1,1,0.269524787
BPI/1/6674,Eosimops,Anomodontia,non-bidentalians,2.424029555,1.896284847,,0.809768395,0,1,1,1,1,0.338171338
BPI/1/253,Cistecephalus,Anomodontia,non-bidentalians,2.031626567,1.579783597,1.113943352,,0,1,1,1,1,0.511993248
NHCC LB18,Kembawacela,Anomodontia,non-bidentalians,1.944402616,1.55999979,,0.272166625,0,1,1,1,1,0.460162788
SAM_PK_K6243,Cistecephaloides,Anomodontia,non-bidentalians,2.011891711,1.662946614,0.88422877,0.350693717,0,1,1,1,1,0.343478662
