Species,regime,PGLSresid
Dimetrodon_grandis,non-hearing,-0.145645176
Dimetrodon_limbatus,non-hearing,0.183651155
Secodontosaurus_longiramus,non-hearing,-0.121550918
Hipposaurus,hearing,0.134675737
Lemurosaurus,hearing,-0.217609416
Paraburnetia,hearing,0.032549196
Biarmosuchus_tener,hearing,-0.076884021
Sinophoneus,hearing,-0.289443285
Jonkeria,hearing,0.251758257
Tapinocaninus,hearing,0.029533496
Estemmenosuchus_uralensis,hearing,0.18824554
Moschops,hearing,0.290111172
Syodon,hearing,-0.377818346
Diictodon,hearing,0.140453221
Robertia,hearing,-0.023641362
Pristerodon,hearing,-0.01697614
Ulemosaurus,hearing,0.096847158
Endothiodon,hearing,0.025270288
Emydops,hearing,0.016041132
Eodicynodon_oosthuizeni,hearing,-0.091410609
Eosimops,hearing,0.035479903
Cistecephalus,hearing,0.09682293
Kembawacela,hearing,0.037961659
Cistecephaloides,hearing,-0.042137008
Aulacephalodon,hearing,-0.345167241
Tropidostoma,hearing,-0.114650543
Oudenodon,hearing,-0.121211392
Dicynodon_lacerticeps,hearing,-0.009937562
Daptocephalus,hearing,-0.02344514
Euptychognathus,hearing,-0.02433591
Lystrosaurus_murrayi,hearing,0.102996393
Kannemeyeria_vanhoepeni,hearing,-0.207383162
Placerias,hearing,0.025824864
Stahleckeria,hearing,0.12571939
Aelurognathus,hearing,0.188766746
Arctops,hearing,0.02316524
Lycaenops_n._sp.,hearing,-0.237420543
Sphenacodon_ferox,non-hearing,0.349844564
Aloposaurus,hearing,-0.115400634
Cyonosaurus,hearing,0.371774217
Cynariops,hearing,-0.068027504
Smilesaurus,hearing,0.145557836
Lycaenops_ornatus,hearing,-0.10252611
Leontosaurus,hearing,-0.362822422
Glanosuchus,hearing,-0.229499773
Pristerognathus,hearing,-0.163577186
Theriognathus,hearing,0.013428323
Hofmeyria,hearing,0.345412515
Mirotenthes,hearing,0.179641391
cf._Ictidostoma,hearing,0.202787589
Ictidosuchoides,hearing,0.049021895
Moschorhinus,hearing,0.158455892
Olivierosuchus,hearing,0.130727379
Choerosaurus,hearing,-0.031322556
Tetracynodon,hearing,-0.229177547
Scaloposaurus,hearing,-0.021602632
Zorillodontops,hearing,-0.002709679
Herpetoskylax,hearing,0.169538321
Leucocephalus,hearing,0.051056742
Proburnetia,hearing,-0.127403788
Palaeohatteria,non-hearing,0.047421123
Pantelosaurus,non-hearing,-0.226193095
Ulemica,hearing,-0.074931844
Rhachiocephalus,hearing,0.504242802
