Specimen,Species,jaw,RL,logJaw,logRL
BP/1/316,Diictodon feliceps,90,263.888,1.954242509,2.421419642
BPI/1/1294,Diictodon feliceps,73,202.19,1.86332286,2.305759672
UCMP41757,Diictodon feliceps,99.05,479.715,1.99585448,2.680983298
1720 RMS463,Diictodon feliceps,70.02,293.981,1.845222106,2.468319263
CGP/1/1234,Diictodon feliceps,85.3,610.142,1.930949031,2.785430921
CGP/1/1791,Diictodon feliceps,82.75,236.476,1.917768002,2.373787071
CGP/1/1798,Diictodon feliceps,98.56,527.415,1.993700695,2.722152477
CGP/1/1825A,Diictodon feliceps,107.64,773.816,2.031973689,2.888637705
CGP/1/1828,Diictodon feliceps,89.56,306.928,1.952114085,2.487036509
CGP/1/1831,Diictodon feliceps,70.41,343.525,1.847634344,2.535958348
