"","Species","Regime","logpter_mean","logpter_sample_size","logpter_varmean","logpter_var","logbsl_mean","logbsl_sample_size","logbsl_var","logbsl_varmean"
"1","Bpumilum",0,1.092123869,1,0.0578099013111364,NA,1.234770295,1,NA,0.00998378251931958
"2","Bsuperciliaris",0,0.668758542,1,0.0578099013111364,NA,1.048558325,1,NA,0.00998378251931958
"3","CAbrevicornis",0,1.568154771,1,0.0578099013111364,NA,1.42375362,1,NA,0.00998378251931958
"4","Ccalyptratus",1,1.14800383068421,19,0.0179721813122932,0.34147144493357,1.26846208326316,19,0.0558884733851168,0.00294149859921667
"5","Cchamaeleon",1,1.55687477382143,28,0.00108616847970519,0.0304127174317453,1.44438540214286,28,0.00361535460310823,0.000129119807253865
"6","Cdilepis",1,1.42757707542857,42,0.000829341300772474,0.0348323346324439,1.40221029942857,42,0.00704072748901807,0.000167636368786145
"7","Cgracilis",1,1.2867111948,10,0.0109954955081674,0.109954955081674,1.3555721419,10,0.0181580059503197,0.00181580059503197
"8","Csenegalensis",1,1.23880117946,50,0.00105553810029558,0.0527769050147788,1.32822533296,50,0.00939890200133557,0.000187978040026711
"9","Czeylanicus",1,1.577250458,1,0.0578099013111364,NA,1.483002139,1,NA,0.00998378251931958
"10","Foustaleti",0,1.90507170014286,7,0.0202492384264226,0.141744668984958,1.61540782757143,7,0.0176516611372001,0.00252166587674287
"11","Fpardalis",1,1.66196328730435,23,0.00143235374359712,0.0329441361027337,1.5162966493913,23,0.00533248544592677,0.000231847193301164
"12","Fverrucosus",0,1.80453814423077,13,0.00144143026315729,0.0187385934210447,1.59540979676923,13,0.00160205486795681,0.000123234989842831
"13","Kfischeri",0,1.275833035,9,0.00201748057258282,0.0181573251532454,1.368810117,9,0.00162304133667732,0.00018033792629748
"14","Tcristatus",1,1.1644593664,10,0.00975071624646648,0.0975071624646648,1.3049311634,10,0.0158620482318565,0.00158620482318565
"15","Tellioti",0,0.946470056380952,21,0.000275217800688572,0.00577957381446001,1.22039149809524,21,0.00175598800708833,8.36184765280158e-05
"16","Thoehnelii",0,0.984381702708333,24,0.00603116785544546,0.144748028530691,1.21968149854167,24,0.0201673159417371,0.000840304830905711
"17","Tjacksonii",0,1.32327910486813,91,0.000503964300406271,0.0458607513369707,1.39221440659341,91,0.0106970540002753,0.00011755004395907
"18","Tjohnstoni",0,1.28102394748718,39,0.000124845342583096,0.00486896836074074,1.39837882115385,39,0.00116158578164937,2.97842508115223e-05
"19","Tmelleri",1,2.08361832,15,0.000899534372972997,0.013493015594595,1.70125968693333,15,0.00238240808187329,0.00015882720545822
"20","Tmontium",1,1.209372648875,16,0.00106604790449009,0.0170567664718414,1.3357884414375,16,0.00232913130665244,0.000145570706665778
