Specimen #,Species,pter1,pter2,pter3,logpter1,logpter2,logpter3
UCMVZ 111574,Cchamaeleon,56.564,57.995,51.638,1.752540114,1.763390553,1.712969413
UCMVZ 111575,Cchamaeleon,41.693,44.626,39.347,1.620063146,1.649587961,1.594911625
UCMVZ 111576,Cchamaeleon,54.268,50.921,46.196,1.734543816,1.706896924,1.664604373
UCMVZ 111577,Cchamaeleon,39.736,39.851,38.392,1.599184147,1.600439224,1.584240737
UCMVZ 111578,Cchamaeleon,52.776,53.638,57.349,1.722436471,1.729472576,1.758525849
UCMVZ 111579,Cchamaeleon,38.266,39.142,37.84,1.582813067,1.592643013,1.577951128
UCMVZ 111580,Cchamaeleon,43.301,44.745,43.552,1.636497926,1.650744512,1.639008104
UCMVZ 111581,Cchamaeleon,55.709,55.958,53.206,1.745925363,1.747862184,1.72596061
UCMVZ 111582,Cchamaeleon,56.321,56.132,54.204,1.750670357,1.749210517,1.734031337
UCMVZ 111583,Cchamaeleon,49.773,48.93,47.896,1.696993818,1.689575216,1.680299245
UCMVZ 111584,Cchamaeleon,45.463,44.671,43.289,1.65765809,1.650025675,1.636377553
UCMVZ 111585,Cchamaeleon,30.492,30.633,29.579,1.484185911,1.486189531,1.470983487
UCMVZ 111586,Cchamaeleon,35.998,35.864,35.259,1.556278373,1.554658726,1.547269991
UCMVZ 111587,Cchamaeleon,54.732,54.045,53.762,1.738241318,1.732755521,1.730475417
UCMVZ 111588,Cchamaeleon,38.26,38.505,42.374,1.582744966,1.585517128,1.627099462
UCMVZ 111589,Cchamaeleon,35.073,36.236,36.334,1.544972915,1.559140251,1.560313212
UCMVZ 111591,Cchamaeleon,37.495,38.081,35.121,1.573973358,1.580708344,1.545566873
UCMVZ 111592,Cchamaeleon,30.763,29.377,32.189,1.488028685,1.468007443,1.507707485
UCMVZ 111593,Cchamaeleon,35.75,35.774,37.091,1.553276046,1.553567503,1.569268542
AMNH 73155,Cchamaeleon,17.131,16.924,16.359,1.233782715,1.228503017,1.213756752
AMNH 73356,Cchamaeleon,23.188,21.814,21.239,1.365263292,1.338735309,1.327134065
AMNH 141131,Cchamaeleon,18.166,17.934,17.025,1.25925931,1.253677165,1.231087121
AMNH 147646,Cchamaeleon,39.15,37.578,37.003,1.592731766,1.574933662,1.568236936
UF99033,Cchamaeleon,19.123,17.538,18.562,1.281556025,1.243980066,1.268624768
YPM10535,Cchamaeleon,50.767,46.098,42.912,1.7055815,1.663682084,1.632578756
YPM10725,Cchamaeleon,37.614,38.499,37.05,1.57534952,1.585449449,1.568788212
YPM11438,Cchamaeleon,15.341,12.783,13.441,1.18585367,1.106632789,1.128431581
MCZ unknown,Cgracilis,27.959,24.796,26.3775,1.446521634,1.394381628,1.421233632
MCZ R41654,Cgracilis,35.096,31.738,33.417,1.545257621,1.501579556,1.523967459
MCZ R41666,Cgracilis,23.588,22.886,23.237,1.372691119,1.359569894,1.366180058
MCZ R7841,Cgracilis,3.452,2.951,3.2015,0.538070787,0.469969209,0.505353506
