Function,Species,Specimen,Sex,logbsl,logpter,logorb,logcor
Non,Tjacksoni,VTPE.LA.0554,M,1.647861995,1.528621074,1.061678615,0.32407658
Non,Tjacksoni,VTPE.LA.0576,M,1.530890944,1.284904251,0.953469743,0.138618434
Non,Tjacksoni,VTPE.LA.0553,F,1.516098877,1.292012266,1.009875634,0.144262774
Non,Tjacksoni,VTPE.LA.0577,M,1.516297339,0.968996327,0.961516011,0.149527014
Non,Tjacksoni,VTPE.LA.0575,M,1.386944624,0.953131225,0.874713689,0.036229544
Non,Tjacksoni,VTPE.LA.0552,F,1.629164857,1.444544416,1.003029471,0.151982395
Non,Tjacksoni,VTPE.LA.0571,M,1.315151338,0.797959644,0.789369154,0.02201574
Non,Tjacksoni,VTPE.LA.0573,M,1.626124707,1.47082195,1.021437396,0.307923704
Non,Tjacksoni,VTPE.LA.0555,M,1.658974367,1.492425113,1.064757399,0.257678575
Non,Tjacksoni,LACM 163866,M,1.366030514,1.330515232,1.017659274,0.183554534
Non,Tjacksoni,LACM 164164,M,1.346763599,1.291967923,1.012795058,0.189490314
Non,Tjacksoni,LACM 164165,M,1.332135358,1.184123354,0.963504499,0.239799818
Non,Tjacksoni,LACM 164608,F,1.515622198,1.597190409,1.086893471,0.322632712
Non,Tjacksoni,LACM 164658,M,1.484883253,1.577250458,1.06792595,0.264345507
Non,Tjacksoni,LACM 164683,M,1.518303322,1.620219365,1.109679769,0.402089351
Non,Tjacksoni,LACM 164687,,1.427499728,1.504959933,1.05960128,0.170261715
Non,Tjacksoni,LACM 168686,M,1.410945859,1.555033958,1.037187371,0.233757363
Non,Tjacksoni,VTPE.LA.0198,M,1.350616237,1.353993124,0.979457318,0.231979027
Non,Tjacksoni,VTPE.LA.0199,F,1.248782214,1.039652024,0.873611197,0.135450699
Non,Tjacksoni,VTPE.LA.0200,M,1.332175784,1.283866348,0.951191758,0.239299479
Non,Tjacksoni,VTPE.LA.0201,F,1.396809373,1.387336426,0.963835031,0.160468531
Non,Tjacksoni,VTPE.LA.0202,M,1.359550917,1.282893887,0.966939163,0.211654401
Non,Tjacksoni,VTPE.LA.0203,F,1.432520341,1.490534346,1.041787319,0.245018871
Non,Tjacksoni,VTPE.LA.0204,F,1.447576614,1.53962803,1.064120906,0.391288049
Non,Tjacksoni,VTPE.LA.0205,M,1.376959989,1.336959785,0.970904498,0.172018809
Non,Tjacksoni,VTPE.LA.0206,M,1.439048335,1.497289106,1.074926097,0.367355921
Non,Tjacksoni,VTPE.LA.0189,M,1.372359583,1.323932409,0.980230691,0.173186268
Non,Tjacksoni,VTPE.LA.0190,M,1.237367773,1.053078443,0.879898324,0.106870544
Non,Tjacksoni,VTPE.LA.0211,M,1.357305808,1.288450448,0.997604787,0.172018809
Non,Tjacksoni,VTPE.LA.0197,M,1.358258542,1.244301866,0.930949031,0.195622944
Non,Tjacksoni,VTPE.LA.0191,F,1.284633733,1.12538366,0.896526217,0.160168293
